web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673932-34346,Faubourg de l'Hôpital 90,"Faubourg de l'Hôpital 90, 2000 Neuchâtel",2000,Neuchâtel,NE,90.0,4226,Faubourg de l'Hôpital 90 Neuchâtel,47.40840530395508,7.552340507507324
1672671611-21211,8092371,"8092371, 2000 Neuchâtel",2000,Neuchâtel,NE,8092371.0,2017,8092371 Neuchâtel,46.950904846191406,6.82770299911499
1672673962-34548,Alpenblick 13,"Alpenblick 13, 8311 Brütten",8311,Brütten,ZH,13.0,6656,Alpenblick 13 Brütten,46.17851638793945,8.709343910217285
1672672584-27571,Sunnehaldenstrasse 5,"Sunnehaldenstrasse 5, 8311 Brütten",8311,Brütten,ZH,5.0,1807,Sunnehaldenstrasse 5 Brütten,46.47087860107422,6.895803928375244
1672671827-22563,Chemin de la Naz 39,"Chemin de la Naz 39, 1052 Le Mont-sur-Lausanne",1052,Le Mont-sur-Lausanne,VD,39.0,3366,Chemin de la Naz 39 Le Mont-sur-Lausanne,47.1724853515625,7.716433048248291
1672671827-22564,9130413,"9130413, 1052 Le Mont-sur-Lausanne",1052,Le Mont-sur-Lausanne,VD,9130413.0,9220,9130413 Le Mont-sur-Lausanne,47.496402740478516,9.25007438659668
1672673976-34652,Haldenstrasse 30,"Haldenstrasse 30, 9548 Matzingen",9548,Matzingen,TG,30.0,2504,Haldenstrasse 30 Matzingen,47.153011322021484,7.268741130828857
1672673917-34255,Gerenstrasse 14,"Gerenstrasse 14, 8712 Stäfa",8712,Stäfa,ZH,14.0,2502,Gerenstrasse 14 Stäfa,47.14608383178711,7.26997184753418
1672673917-34256,Gerenstrasse 14,"Gerenstrasse 14, 8712 Stäfa",8712,Stäfa,ZH,14.0,3507,Gerenstrasse 14 Stäfa,46.92702865600586,7.619304656982422
1672673973-34631,Rhynerstrasse 6,"Rhynerstrasse 6, 8712 Stäfa",8712,Stäfa,ZH,6.0,3507,Rhynerstrasse 6 Stäfa,46.92478561401367,7.627810478210449
1672673917-34257,Laubstenstrasse 26,"Laubstenstrasse 26, 8712 Stäfa",8712,Stäfa,ZH,26.0,3507,Laubstenstrasse 26 Stäfa,46.92647171020508,7.62118673324585
1672673935-34361,Schwabachstrasse 51,"Schwabachstrasse 51, 8706 Meilen",8706,Meilen,ZH,51.0,5023,Schwabachstrasse 51 Meilen,47.41580581665039,8.085741996765137
1672673935-34362,Feldgüetliweg 108,"Feldgüetliweg 108, 8706 Meilen",8706,Meilen,ZH,108.0,5023,Feldgüetliweg 108 Meilen,47.41558074951172,8.085570335388184
1672671716-21868,In der Au 10C,"In der Au 10C, 8706 Meilen",8706,Meilen,ZH,10.0,4105,In der Au 10C Meilen,47.50957489013672,7.522444248199463
1672673932-34359,Bergstrasse 9a,"Bergstrasse 9a, 5452 Oberrohrdorf",5452,Oberrohrdorf,AG,9.0,6710,Bergstrasse 9a Oberrohrdorf,46.36038589477539,8.972203254699707
1672671583-21034,Zürichstrasse 12,"Zürichstrasse 12, 5452 Oberrohrdorf",5452,Oberrohrdorf,AG,12.0,6710,Zürichstrasse 12 Oberrohrdorf,46.35868835449219,8.968069076538086
